""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"tensor(0.3789, device='cuda:0')"
"tensor(0.4604, device='cuda:0')"
"tensor(0.4460, device='cuda:0')"
"tensor(0.5358, device='cuda:0')"
"tensor(0.6132, device='cuda:0')"
"tensor(0.3124, device='cuda:0')"
"tensor(0.2014, device='cuda:0')"
"tensor(0.1758, device='cuda:0')"
"tensor(0.4945, device='cuda:0')"
"tensor(0.4519, device='cuda:0')"
"tensor(0.5181, device='cuda:0')"
"tensor(0.4707, device='cuda:0')"
"tensor(0.4839, device='cuda:0')"
"tensor(0.5460, device='cuda:0')"
"tensor(0.3750, device='cuda:0')"
"tensor(0.3338, device='cuda:0')"
"tensor(0.3529, device='cuda:0')"
"tensor(0.4729, device='cuda:0')"
"tensor(0.3994, device='cuda:0')"
"tensor(0.2970, device='cuda:0')"
"tensor(0.4808, device='cuda:0')"
"tensor(0.2992, device='cuda:0')"
"tensor(0.5137, device='cuda:0')"
"tensor(0.2319, device='cuda:0')"
"tensor(0.4466, device='cuda:0')"
"tensor(0.0581, device='cuda:0')"
"tensor(0.3897, device='cuda:0')"
"tensor(0.1576, device='cuda:0')"
"tensor(0.1815, device='cuda:0')"
"tensor(0.1314, device='cuda:0')"
"tensor(0.1626, device='cuda:0')"
"tensor(0.0542, device='cuda:0')"
"tensor(0.0811, device='cuda:0')"
"tensor(0.1843, device='cuda:0')"
"tensor(0.0706, device='cuda:0')"
"tensor(0.2845, device='cuda:0')"
"tensor(-0.0048, device='cuda:0')"
"tensor(0.0682, device='cuda:0')"
"tensor(0.2701, device='cuda:0')"
"tensor(0.5152, device='cuda:0')"
"tensor(0.3845, device='cuda:0')"
"tensor(0.3898, device='cuda:0')"
"tensor(0.3861, device='cuda:0')"
"tensor(0.4107, device='cuda:0')"
"tensor(0.3346, device='cuda:0')"
"tensor(0.3377, device='cuda:0')"
"tensor(0.3543, device='cuda:0')"
"tensor(0.2831, device='cuda:0')"
"tensor(0.3104, device='cuda:0')"
"tensor(0.2793, device='cuda:0')"
"tensor(0.1946, device='cuda:0')"
"tensor(0.2372, device='cuda:0')"
"tensor(0.1685, device='cuda:0')"
"tensor(0.1553, device='cuda:0')"
"tensor(0.1291, device='cuda:0')"
"tensor(0.1321, device='cuda:0')"
"tensor(0.1104, device='cuda:0')"
"tensor(0.2695, device='cuda:0')"
"tensor(0.3023, device='cuda:0')"
"tensor(0.3736, device='cuda:0')"
"tensor(0.1426, device='cuda:0')"
"tensor(0.0373, device='cuda:0')"
"tensor(0.0527, device='cuda:0')"
"tensor(0.1909, device='cuda:0')"
"tensor(0.0817, device='cuda:0')"
"tensor(0.2658, device='cuda:0')"
"tensor(0.3636, device='cuda:0')"
"tensor(0.4419, device='cuda:0')"
"tensor(0.6292, device='cuda:0')"
"tensor(0.4508, device='cuda:0')"
"tensor(0.5166, device='cuda:0')"
"tensor(0.4742, device='cuda:0')"
"tensor(0.5361, device='cuda:0')"
"tensor(0.4159, device='cuda:0')"
"tensor(0.4283, device='cuda:0')"
"tensor(0.4475, device='cuda:0')"
"tensor(0.3386, device='cuda:0')"
"tensor(0.5710, device='cuda:0')"
"tensor(0.4608, device='cuda:0')"
"tensor(0.4379, device='cuda:0')"
"tensor(0.3509, device='cuda:0')"
"tensor(0.4099, device='cuda:0')"
"tensor(0.2288, device='cuda:0')"
"tensor(0.3686, device='cuda:0')"
"tensor(0.3020, device='cuda:0')"
"tensor(0.1804, device='cuda:0')"
"tensor(0.2086, device='cuda:0')"
"tensor(0.3909, device='cuda:0')"
"tensor(0.2436, device='cuda:0')"
"tensor(0.3548, device='cuda:0')"
"tensor(0.4987, device='cuda:0')"
"tensor(0.4186, device='cuda:0')"
"tensor(0.4964, device='cuda:0')"
"tensor(0.3630, device='cuda:0')"
"tensor(0.3402, device='cuda:0')"
"tensor(0.4012, device='cuda:0')"
"tensor(0.3475, device='cuda:0')"
"tensor(0.3249, device='cuda:0')"
"tensor(0.3294, device='cuda:0')"
"tensor(0.3043, device='cuda:0')"
"tensor(0.3904, device='cuda:0')"
"tensor(0.3668, device='cuda:0')"
"tensor(0.2106, device='cuda:0')"
"tensor(0.2353, device='cuda:0')"
"tensor(0.1321, device='cuda:0')"
"tensor(0.2462, device='cuda:0')"
"tensor(0.1722, device='cuda:0')"
"tensor(0.3360, device='cuda:0')"
"tensor(0.2505, device='cuda:0')"
"tensor(0.2934, device='cuda:0')"
"tensor(0.1777, device='cuda:0')"
"tensor(0.2318, device='cuda:0')"
"tensor(0.1372, device='cuda:0')"
"tensor(0.2315, device='cuda:0')"
"tensor(0.2028, device='cuda:0')"
"tensor(0.3350, device='cuda:0')"
"tensor(0.0847, device='cuda:0')"
"tensor(0.3584, device='cuda:0')"
"tensor(0.2164, device='cuda:0')"
"tensor(0.1495, device='cuda:0')"
"tensor(0.4123, device='cuda:0')"
"tensor(0.4925, device='cuda:0')"
"tensor(0.4004, device='cuda:0')"
"tensor(0.1791, device='cuda:0')"
"tensor(0.2747, device='cuda:0')"
"tensor(0.2495, device='cuda:0')"
"tensor(0.3031, device='cuda:0')"
"tensor(0.3314, device='cuda:0')"
"tensor(0.4892, device='cuda:0')"
"tensor(0.3000, device='cuda:0')"
"tensor(0.4733, device='cuda:0')"
"tensor(0.4630, device='cuda:0')"
"tensor(0.4685, device='cuda:0')"
"tensor(0.3217, device='cuda:0')"
"tensor(0.4179, device='cuda:0')"
"tensor(0.4571, device='cuda:0')"
"tensor(0.4809, device='cuda:0')"
"tensor(0.3244, device='cuda:0')"
"tensor(0.3437, device='cuda:0')"
"tensor(0.2245, device='cuda:0')"
"tensor(0.3470, device='cuda:0')"
"tensor(0.5409, device='cuda:0')"
"tensor(0.4104, device='cuda:0')"
"tensor(0.3489, device='cuda:0')"
"tensor(0.2420, device='cuda:0')"
"tensor(0.2253, device='cuda:0')"
"tensor(0.3780, device='cuda:0')"
"tensor(0.4060, device='cuda:0')"
"tensor(0.3189, device='cuda:0')"
"tensor(0.2189, device='cuda:0')"
"tensor(0.1748, device='cuda:0')"
"tensor(0.2423, device='cuda:0')"
"tensor(0.1527, device='cuda:0')"
"tensor(0.1377, device='cuda:0')"
"tensor(0.1554, device='cuda:0')"
"tensor(0.2070, device='cuda:0')"
"tensor(0.3614, device='cuda:0')"
"tensor(0.1543, device='cuda:0')"
"tensor(0.3185, device='cuda:0')"
"tensor(0.2846, device='cuda:0')"
"tensor(0.1182, device='cuda:0')"
"tensor(0.1337, device='cuda:0')"
"tensor(0.1832, device='cuda:0')"
"tensor(0.2116, device='cuda:0')"
"tensor(0.2486, device='cuda:0')"
"tensor(0.3115, device='cuda:0')"
"tensor(0.2693, device='cuda:0')"
"tensor(0.2262, device='cuda:0')"
"tensor(0.1893, device='cuda:0')"
"tensor(0.2203, device='cuda:0')"
"tensor(0.1384, device='cuda:0')"
"tensor(0.3597, device='cuda:0')"
"tensor(0.1962, device='cuda:0')"
"tensor(0.1350, device='cuda:0')"
"tensor(0.3449, device='cuda:0')"
"tensor(0.1922, device='cuda:0')"
"tensor(0.1987, device='cuda:0')"
"tensor(0.3625, device='cuda:0')"
"tensor(0.3320, device='cuda:0')"
"tensor(0.3257, device='cuda:0')"
"tensor(0.1238, device='cuda:0')"
"tensor(0.2041, device='cuda:0')"
"tensor(0.1656, device='cuda:0')"
"tensor(0.2677, device='cuda:0')"
"tensor(0.2478, device='cuda:0')"
"tensor(0.2380, device='cuda:0')"
"tensor(0.0967, device='cuda:0')"
"tensor(0.2362, device='cuda:0')"
"tensor(0.1384, device='cuda:0')"
"tensor(0.0357, device='cuda:0')"
"tensor(0.2248, device='cuda:0')"
"tensor(0.1977, device='cuda:0')"
"tensor(0.1881, device='cuda:0')"
"tensor(0.1983, device='cuda:0')"
"tensor(0.2639, device='cuda:0')"
"tensor(0.2440, device='cuda:0')"
"tensor(0.1932, device='cuda:0')"
"tensor(0.3386, device='cuda:0')"
"tensor(0.2821, device='cuda:0')"
"tensor(0.0845, device='cuda:0')"
"tensor(0.1746, device='cuda:0')"
"tensor(0.2259, device='cuda:0')"
"tensor(0.2615, device='cuda:0')"
"tensor(0.2334, device='cuda:0')"
"tensor(0.1152, device='cuda:0')"
"tensor(0.0779, device='cuda:0')"
"tensor(0.2155, device='cuda:0')"
"tensor(0.1042, device='cuda:0')"
"tensor(0.1441, device='cuda:0')"
"tensor(0.2591, device='cuda:0')"
"tensor(0.1688, device='cuda:0')"
"tensor(0.1461, device='cuda:0')"
"tensor(0.2189, device='cuda:0')"
"tensor(0.0305, device='cuda:0')"
"tensor(0.1090, device='cuda:0')"
"tensor(0.1895, device='cuda:0')"
"tensor(0.2217, device='cuda:0')"
"tensor(0.3852, device='cuda:0')"
"tensor(0.4113, device='cuda:0')"
"tensor(0.4312, device='cuda:0')"
"tensor(0.3693, device='cuda:0')"
"tensor(0.4503, device='cuda:0')"
"tensor(0.3469, device='cuda:0')"
"tensor(0.3277, device='cuda:0')"
"tensor(0.2315, device='cuda:0')"
"tensor(0.2710, device='cuda:0')"
"tensor(0.2345, device='cuda:0')"
"tensor(0.2628, device='cuda:0')"
"tensor(0.2181, device='cuda:0')"
"tensor(0.2079, device='cuda:0')"
"tensor(0.0822, device='cuda:0')"
"tensor(0.0428, device='cuda:0')"
"tensor(0.0730, device='cuda:0')"
"tensor(0.0429, device='cuda:0')"
"tensor(0.0289, device='cuda:0')"
"tensor(0.0985, device='cuda:0')"
"tensor(0.1526, device='cuda:0')"
"tensor(0.1852, device='cuda:0')"
"tensor(0.0308, device='cuda:0')"
"tensor(0.1757, device='cuda:0')"
"tensor(0.2619, device='cuda:0')"
"tensor(0.4324, device='cuda:0')"
"tensor(0.3911, device='cuda:0')"
"tensor(0.3890, device='cuda:0')"
"tensor(0.3861, device='cuda:0')"
"tensor(0.4239, device='cuda:0')"
"tensor(0.4577, device='cuda:0')"
"tensor(0.2293, device='cuda:0')"
"tensor(0.2634, device='cuda:0')"
"tensor(0.2209, device='cuda:0')"
"tensor(0.2795, device='cuda:0')"
"tensor(0.1490, device='cuda:0')"
"tensor(0.1744, device='cuda:0')"
"tensor(0.3234, device='cuda:0')"
"tensor(0.2056, device='cuda:0')"
"tensor(0.3231, device='cuda:0')"
"tensor(0.3381, device='cuda:0')"
"tensor(0.4264, device='cuda:0')"
"tensor(0.3133, device='cuda:0')"
"tensor(0.2724, device='cuda:0')"
"tensor(0.2056, device='cuda:0')"
"tensor(0.3203, device='cuda:0')"
"tensor(0.3343, device='cuda:0')"
"tensor(0.3931, device='cuda:0')"
"tensor(0.4247, device='cuda:0')"
"tensor(0.2777, device='cuda:0')"
"tensor(0.2752, device='cuda:0')"
"tensor(0.2499, device='cuda:0')"
"tensor(0.2853, device='cuda:0')"
"tensor(0.2838, device='cuda:0')"
"tensor(0.2493, device='cuda:0')"
"tensor(0.4145, device='cuda:0')"
"tensor(0.3647, device='cuda:0')"
"tensor(0.2287, device='cuda:0')"
"tensor(0.2547, device='cuda:0')"
"tensor(0.1902, device='cuda:0')"
"tensor(0.2413, device='cuda:0')"
"tensor(0.2439, device='cuda:0')"
"tensor(0.2455, device='cuda:0')"
"tensor(0.2055, device='cuda:0')"
"tensor(0.2543, device='cuda:0')"
"tensor(0.1460, device='cuda:0')"
"tensor(0.3423, device='cuda:0')"
"tensor(0.2735, device='cuda:0')"
"tensor(0.2005, device='cuda:0')"
"tensor(0.4869, device='cuda:0')"
"tensor(0.3553, device='cuda:0')"
"tensor(0.2044, device='cuda:0')"
"tensor(0.2562, device='cuda:0')"
"tensor(0.1935, device='cuda:0')"
"tensor(0.2681, device='cuda:0')"
"tensor(0.1986, device='cuda:0')"
"tensor(0.2277, device='cuda:0')"
"tensor(0.2617, device='cuda:0')"
"tensor(0.1856, device='cuda:0')"
"tensor(0.2565, device='cuda:0')"
"tensor(0.2596, device='cuda:0')"
"tensor(0.4461, device='cuda:0')"
"tensor(0.3807, device='cuda:0')"
"tensor(0.2952, device='cuda:0')"
"tensor(0.4651, device='cuda:0')"
"tensor(0.2849, device='cuda:0')"
"tensor(0.2722, device='cuda:0')"
"tensor(0.4025, device='cuda:0')"
"tensor(0.2764, device='cuda:0')"
"tensor(0.4116, device='cuda:0')"
"tensor(0.2085, device='cuda:0')"
"tensor(0.2235, device='cuda:0')"
"tensor(0.2222, device='cuda:0')"
"tensor(0.2033, device='cuda:0')"
"tensor(0.1870, device='cuda:0')"
"tensor(0.3468, device='cuda:0')"
"tensor(0.2085, device='cuda:0')"
"tensor(0.3148, device='cuda:0')"
"tensor(0.3762, device='cuda:0')"
"tensor(0.1507, device='cuda:0')"
"tensor(0.1722, device='cuda:0')"
"tensor(0.2130, device='cuda:0')"
"tensor(0.2192, device='cuda:0')"
"tensor(0.4148, device='cuda:0')"
"tensor(0.2115, device='cuda:0')"
"tensor(0.3282, device='cuda:0')"
"tensor(0.2746, device='cuda:0')"
"tensor(0.2612, device='cuda:0')"
"tensor(0.2820, device='cuda:0')"
"tensor(0.2387, device='cuda:0')"
"tensor(0.1603, device='cuda:0')"
"tensor(0.1552, device='cuda:0')"
"tensor(0.3659, device='cuda:0')"
"tensor(0.2111, device='cuda:0')"
"tensor(0.4191, device='cuda:0')"
"tensor(0.1323, device='cuda:0')"
"tensor(0.2879, device='cuda:0')"
"tensor(0.2270, device='cuda:0')"
"tensor(0.5029, device='cuda:0')"
"tensor(0.2203, device='cuda:0')"
"tensor(0.2416, device='cuda:0')"
"tensor(0.1658, device='cuda:0')"
"tensor(0.2775, device='cuda:0')"
"tensor(0.3113, device='cuda:0')"
"tensor(0.2773, device='cuda:0')"
"tensor(0.1774, device='cuda:0')"
"tensor(0.2336, device='cuda:0')"
"tensor(0.2287, device='cuda:0')"
"tensor(0.2624, device='cuda:0')"
"tensor(0.2571, device='cuda:0')"
"tensor(0.2714, device='cuda:0')"
"tensor(0.2313, device='cuda:0')"
"tensor(0.2768, device='cuda:0')"
"tensor(0.2581, device='cuda:0')"
"tensor(0.4231, device='cuda:0')"
"tensor(0.2323, device='cuda:0')"
"tensor(0.3224, device='cuda:0')"
"tensor(0.1665, device='cuda:0')"
"tensor(0.3686, device='cuda:0')"
"tensor(0.2191, device='cuda:0')"
"tensor(0.2055, device='cuda:0')"
"tensor(0.2054, device='cuda:0')"
"tensor(0.1786, device='cuda:0')"
"tensor(0.0704, device='cuda:0')"
"tensor(0.1418, device='cuda:0')"
"tensor(0.1072, device='cuda:0')"
"tensor(0.4857, device='cuda:0')"
"tensor(0.2571, device='cuda:0')"
"tensor(0.2754, device='cuda:0')"
"tensor(0.3109, device='cuda:0')"
"tensor(0.1917, device='cuda:0')"
"tensor(0.3104, device='cuda:0')"
"tensor(0.2844, device='cuda:0')"
"tensor(0.0747, device='cuda:0')"
"tensor(0.0501, device='cuda:0')"
"tensor(-0.0253, device='cuda:0')"
"tensor(0.2529, device='cuda:0')"
"tensor(0.1110, device='cuda:0')"
"tensor(0.1645, device='cuda:0')"
"tensor(0.1511, device='cuda:0')"
"tensor(-0.0212, device='cuda:0')"
"tensor(0.2127, device='cuda:0')"
"tensor(0.0369, device='cuda:0')"
"tensor(0.0339, device='cuda:0')"
"tensor(0.5242, device='cuda:0')"
"tensor(0.1950, device='cuda:0')"
"tensor(0.2211, device='cuda:0')"
"tensor(0.2212, device='cuda:0')"
"tensor(0.2990, device='cuda:0')"
"tensor(0.3151, device='cuda:0')"
"tensor(0.1799, device='cuda:0')"
"tensor(0.4102, device='cuda:0')"
"tensor(0.4608, device='cuda:0')"
"tensor(0.3372, device='cuda:0')"
"tensor(0.3718, device='cuda:0')"
"tensor(0.3893, device='cuda:0')"
"tensor(0.2556, device='cuda:0')"
"tensor(0.2293, device='cuda:0')"
"tensor(0.3989, device='cuda:0')"
"tensor(0.3795, device='cuda:0')"
"tensor(0.1983, device='cuda:0')"
"tensor(0.3046, device='cuda:0')"
"tensor(0.2028, device='cuda:0')"
"tensor(0.2306, device='cuda:0')"
"tensor(0.2005, device='cuda:0')"
"tensor(0.0794, device='cuda:0')"
"tensor(0.3417, device='cuda:0')"
"tensor(0.2281, device='cuda:0')"
"tensor(0.1319, device='cuda:0')"
"tensor(0.1671, device='cuda:0')"
"tensor(0.2225, device='cuda:0')"
"tensor(0.2630, device='cuda:0')"
"tensor(0.3056, device='cuda:0')"
"tensor(0.2122, device='cuda:0')"
"tensor(0.2309, device='cuda:0')"
"tensor(0.1622, device='cuda:0')"
"tensor(0.1515, device='cuda:0')"
"tensor(0.1674, device='cuda:0')"
"tensor(0.1800, device='cuda:0')"
"tensor(0.1829, device='cuda:0')"
"tensor(0.3164, device='cuda:0')"
"tensor(0.1446, device='cuda:0')"
"tensor(0.2390, device='cuda:0')"
"tensor(0.2201, device='cuda:0')"
"tensor(0.1445, device='cuda:0')"
"tensor(0.3182, device='cuda:0')"
"tensor(0.2862, device='cuda:0')"
"tensor(0.2871, device='cuda:0')"
"tensor(0.2224, device='cuda:0')"
"tensor(0.1220, device='cuda:0')"
"tensor(0.2556, device='cuda:0')"
"tensor(0.2034, device='cuda:0')"
"tensor(0.0662, device='cuda:0')"
"tensor(0.4401, device='cuda:0')"
"tensor(0.1775, device='cuda:0')"
"tensor(0.1844, device='cuda:0')"
"tensor(0.1577, device='cuda:0')"
"tensor(0.3191, device='cuda:0')"
"tensor(0.1894, device='cuda:0')"
"tensor(0.4163, device='cuda:0')"
"tensor(0.3492, device='cuda:0')"
"tensor(0.5681, device='cuda:0')"
"tensor(0.1894, device='cuda:0')"
"tensor(0.0892, device='cuda:0')"
"tensor(0.1599, device='cuda:0')"
"tensor(0.1855, device='cuda:0')"
"tensor(0.0147, device='cuda:0')"
"tensor(0.1719, device='cuda:0')"
"tensor(0.2145, device='cuda:0')"
"tensor(0.0128, device='cuda:0')"
"tensor(0.1207, device='cuda:0')"
"tensor(0.2556, device='cuda:0')"
"tensor(0.1896, device='cuda:0')"
"tensor(0.0344, device='cuda:0')"
"tensor(0.1600, device='cuda:0')"
"tensor(0.2192, device='cuda:0')"
"tensor(0.2874, device='cuda:0')"
"tensor(0.1483, device='cuda:0')"
"tensor(0.0873, device='cuda:0')"
"tensor(0.1790, device='cuda:0')"
"tensor(0.3291, device='cuda:0')"
"tensor(0.2835, device='cuda:0')"
"tensor(0.2953, device='cuda:0')"
"tensor(0.3189, device='cuda:0')"
"tensor(0.3095, device='cuda:0')"
"tensor(0.2884, device='cuda:0')"
"tensor(0.2033, device='cuda:0')"
"tensor(0.1013, device='cuda:0')"
"tensor(0.3987, device='cuda:0')"
"tensor(0.3399, device='cuda:0')"
"tensor(0.2196, device='cuda:0')"
"tensor(0.2075, device='cuda:0')"
"tensor(0.0918, device='cuda:0')"
"tensor(0.3294, device='cuda:0')"
"tensor(0.4301, device='cuda:0')"
"tensor(0.4396, device='cuda:0')"
"tensor(0.2014, device='cuda:0')"
"tensor(0.4106, device='cuda:0')"
"tensor(0.4375, device='cuda:0')"
"tensor(0.4215, device='cuda:0')"
"tensor(0.3814, device='cuda:0')"
"tensor(0.1382, device='cuda:0')"
"tensor(0.1811, device='cuda:0')"
"tensor(0.0935, device='cuda:0')"
"tensor(0.2369, device='cuda:0')"
"tensor(0.2297, device='cuda:0')"
"tensor(0.2882, device='cuda:0')"
"tensor(0.3446, device='cuda:0')"
"tensor(0.2729, device='cuda:0')"
"tensor(0.3111, device='cuda:0')"
"tensor(0.1504, device='cuda:0')"
"tensor(0.4309, device='cuda:0')"
"tensor(0.1564, device='cuda:0')"
"tensor(0.3264, device='cuda:0')"
"tensor(0.4457, device='cuda:0')"
"tensor(0.1153, device='cuda:0')"
"tensor(0.3779, device='cuda:0')"
"tensor(0.1904, device='cuda:0')"
"tensor(0.2792, device='cuda:0')"
"tensor(0.2198, device='cuda:0')"
"tensor(0.2267, device='cuda:0')"
"tensor(0.2543, device='cuda:0')"
"tensor(0.2224, device='cuda:0')"
"tensor(0.2366, device='cuda:0')"
"tensor(0.2644, device='cuda:0')"
"tensor(0.2493, device='cuda:0')"
"tensor(0.3184, device='cuda:0')"
"tensor(0.2400, device='cuda:0')"
"tensor(0.2415, device='cuda:0')"
"tensor(0.3180, device='cuda:0')"
"tensor(0.4199, device='cuda:0')"
"tensor(0.3059, device='cuda:0')"
"tensor(0.2056, device='cuda:0')"
"tensor(0.0816, device='cuda:0')"
"tensor(0.2224, device='cuda:0')"
"tensor(0.2762, device='cuda:0')"
"tensor(0.2710, device='cuda:0')"
"tensor(0.1047, device='cuda:0')"
"tensor(0.2558, device='cuda:0')"
"tensor(0.0861, device='cuda:0')"
"tensor(0.1917, device='cuda:0')"
"tensor(0.1172, device='cuda:0')"
"tensor(0.2004, device='cuda:0')"
"tensor(0.1947, device='cuda:0')"
"tensor(0.1501, device='cuda:0')"
"tensor(0.1168, device='cuda:0')"
"tensor(0.1110, device='cuda:0')"
"tensor(0.2779, device='cuda:0')"
"tensor(0.1247, device='cuda:0')"
"tensor(0.0793, device='cuda:0')"
"tensor(0.2255, device='cuda:0')"
"tensor(0.2259, device='cuda:0')"
"tensor(0.2111, device='cuda:0')"
"tensor(0.2573, device='cuda:0')"
"tensor(0.0987, device='cuda:0')"
"tensor(0.1978, device='cuda:0')"
"tensor(0.0967, device='cuda:0')"
"tensor(0.1511, device='cuda:0')"
"tensor(0.1228, device='cuda:0')"
"tensor(0.1714, device='cuda:0')"
"tensor(0.1785, device='cuda:0')"
"tensor(0.1126, device='cuda:0')"
"tensor(0.1317, device='cuda:0')"
"tensor(0.2394, device='cuda:0')"
"tensor(0.1635, device='cuda:0')"
"tensor(0.1324, device='cuda:0')"
"tensor(0.1976, device='cuda:0')"
"tensor(0.2661, device='cuda:0')"
"tensor(0.1929, device='cuda:0')"
"tensor(0.2086, device='cuda:0')"
"tensor(0.1829, device='cuda:0')"
"tensor(0.2430, device='cuda:0')"
"tensor(0.2001, device='cuda:0')"
"tensor(0.2408, device='cuda:0')"
"tensor(0.1929, device='cuda:0')"
"tensor(0.2086, device='cuda:0')"
"tensor(0.1829, device='cuda:0')"
"tensor(0.2541, device='cuda:0')"
"tensor(0.1814, device='cuda:0')"
"tensor(0.2541, device='cuda:0')"
"tensor(0.1814, device='cuda:0')"
"tensor(0.2430, device='cuda:0')"
"tensor(0.2001, device='cuda:0')"
"tensor(0.2408, device='cuda:0')"
"tensor(0.3878, device='cuda:0')"
"tensor(0.4400, device='cuda:0')"
"tensor(0.4447, device='cuda:0')"
"tensor(0.3829, device='cuda:0')"
"tensor(0.2316, device='cuda:0')"
"tensor(0.5051, device='cuda:0')"
"tensor(0.5606, device='cuda:0')"
"tensor(0.5133, device='cuda:0')"
"tensor(0.4639, device='cuda:0')"
"tensor(0.5214, device='cuda:0')"
"tensor(0.4229, device='cuda:0')"
"tensor(0.4674, device='cuda:0')"
"tensor(0.5145, device='cuda:0')"
"tensor(0.4555, device='cuda:0')"
"tensor(0.4371, device='cuda:0')"
"tensor(0.6381, device='cuda:0')"
"tensor(0.4526, device='cuda:0')"
"tensor(0.4457, device='cuda:0')"
"tensor(0.5200, device='cuda:0')"
"tensor(0.3131, device='cuda:0')"
"tensor(0.3724, device='cuda:0')"
"tensor(0.5359, device='cuda:0')"
"tensor(0.5222, device='cuda:0')"
"tensor(0.5020, device='cuda:0')"
"tensor(0.3731, device='cuda:0')"
"tensor(0.4222, device='cuda:0')"
"tensor(0.4343, device='cuda:0')"
"tensor(0.4191, device='cuda:0')"
"tensor(0.3595, device='cuda:0')"
"tensor(0.5263, device='cuda:0')"
"tensor(0.3747, device='cuda:0')"
"tensor(0.3103, device='cuda:0')"
"tensor(0.3496, device='cuda:0')"
"tensor(0.1525, device='cuda:0')"
"tensor(0.3075, device='cuda:0')"
"tensor(0.2656, device='cuda:0')"
"tensor(0.2030, device='cuda:0')"
"tensor(0.2094, device='cuda:0')"
"tensor(0.1318, device='cuda:0')"
"tensor(0.1028, device='cuda:0')"
"tensor(0.1257, device='cuda:0')"
"tensor(0.0981, device='cuda:0')"
"tensor(0.2633, device='cuda:0')"
"tensor(0.2376, device='cuda:0')"
"tensor(0.2990, device='cuda:0')"
"tensor(0.3115, device='cuda:0')"
"tensor(0.4414, device='cuda:0')"
"tensor(0.2486, device='cuda:0')"
"tensor(-0.0296, device='cuda:0')"
"tensor(0.0872, device='cuda:0')"
"tensor(0.6957, device='cuda:0')"
"tensor(0.2107, device='cuda:0')"
"tensor(0.5755, device='cuda:0')"
"tensor(0.2024, device='cuda:0')"
"tensor(0.5280, device='cuda:0')"
"tensor(0.4526, device='cuda:0')"
"tensor(0.6129, device='cuda:0')"
"tensor(0.4077, device='cuda:0')"
"tensor(0.5545, device='cuda:0')"
"tensor(0.3778, device='cuda:0')"
"tensor(0.5658, device='cuda:0')"
"tensor(0.4347, device='cuda:0')"
"tensor(0.5326, device='cuda:0')"
"tensor(0.3892, device='cuda:0')"
"tensor(0.4969, device='cuda:0')"
"tensor(0.4219, device='cuda:0')"
"tensor(0.4984, device='cuda:0')"
"tensor(0.4131, device='cuda:0')"
"tensor(0.5407, device='cuda:0')"
"tensor(0.3294, device='cuda:0')"
"tensor(0.4540, device='cuda:0')"
"tensor(0.4219, device='cuda:0')"
"tensor(0.4984, device='cuda:0')"
"tensor(0.3892, device='cuda:0')"
"tensor(0.4969, device='cuda:0')"
"tensor(0.4219, device='cuda:0')"
"tensor(0.4984, device='cuda:0')"
"tensor(0.4131, device='cuda:0')"
"tensor(0.5407, device='cuda:0')"
